,id,name,is_closed,url,review_count,categories,rating,price,location,Lat,Long,price_level,zip_code,city,state,new_labels,food_label,regional_label
200,JkjcXLLfgipmXIQwaYBIBA,Harding Cafe,False,https://www.yelp.com/biz/harding-cafe-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,33,"['Breakfast & Brunch', 'Burgers', 'Sandwiches']",5.0,$$,"{'address1': '4347 N Harding Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['4347 N Harding Ave', 'Chicago, IL 60618']}",41.96049,-87.7263,19.0,60618,chicago,IL,"['Fast_Food', 'Breakfast & Brunch']",Fast_Food,other
201,Cy2sHX4k_5UoXCfs7N5rhw,Blue Food Company,False,https://www.yelp.com/biz/blue-food-company-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,74,"['Breakfast & Brunch', 'Cafes', 'Juice Bars & Smoothies']",5.0,$$,"{'address1': '3290 N Elston Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3290 N Elston Ave', 'Chicago, IL 60618']}",41.941068,-87.701271,19.0,60618,chicago,IL,"['Coffee_Tea', 'Beverage', 'Breakfast & Brunch']",Breakfast & Brunch,other
202,lBY5aJZ8RQJ4iz2Bio6_og,You're a Cookie!,False,https://www.yelp.com/biz/youre-a-cookie-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,16,['Desserts'],5.0,$$,"{'address1': '3053 N California Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3053 N California Ave', 'Chicago, IL 60618']}",41.9373,-87.69749,19.0,60618,chicago,IL,['Dessert'],other,other
203,--Yw337vTC4fLKRCaw-PLQ,XOchimilco Mexican Restaurant,False,https://www.yelp.com/biz/xochimilco-mexican-restaurant-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,259,['Mexican'],5.0,$$,"{'address1': '2030-32 W Montrose Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['2030-32 W Montrose Ave', 'Chicago, IL 60618']}",41.9616665,-87.6802497,19.0,60618,chicago,IL,['Mexican'],other,Mexican
204,CVnNuzqwhH2E7rwxLZC5BQ,El Llano Restaurant - Northcenter,False,https://www.yelp.com/biz/el-llano-restaurant-northcenter-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,53,['Colombian'],5.0,$$,"{'address1': '3941 N Lincoln Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60613', 'country': 'US', 'state': 'IL', 'display_address': ['3941 N Lincoln Ave', 'Chicago, IL 60613']}",41.95356,-87.67793,19.0,60613,chicago,IL,['Colombian'],other,Colombian
205,3aFFDITgDx5Jmss4aFQ5lw,Somethin' Sweet Donuts,False,https://www.yelp.com/biz/somethin-sweet-donuts-chicago-4?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,74,"['Donuts', 'Coffee & Tea']",5.0,$$,"{'address1': '4456 N Kedzie Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60625', 'country': 'US', 'state': 'IL', 'display_address': ['4456 N Kedzie Ave', 'Chicago, IL 60625']}",41.96286,-87.70863,19.0,60625,chicago,IL,"['Coffee_Tea', 'Dessert']",Coffee_Tea,other
206,U763eYcewDO4sUdBoTJVLg,Windy City Playhouse,False,https://www.yelp.com/biz/windy-city-playhouse-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,53,"['Performing Arts', 'Cocktail Bars', 'Venues & Event Spaces']",4.5,$$,"{'address1': '3014 W Irving Park Rd', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3014 W Irving Park Rd', 'Chicago, IL 60618']}",41.9542389,-87.7038193,19.0,60618,chicago,IL,"['Performing Arts', 'Alcohol']",Alcohol,other
207,Enf_3DXmppx19hFGs0UDKw,La Nonna,False,https://www.yelp.com/biz/la-nonna-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,381,"['Argentine', 'Italian']",4.5,$$,"{'address1': '3400 N Lawndale Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3400 N Lawndale Ave', 'Chicago, IL 60618']}",41.9429574,-87.7203016,19.0,60618,chicago,IL,"['Argentine', 'Italian']",other,Italian
208,X9pOi_cvzv-9jkW1Zd2sCQ,JT’s Genuine Sandwich Shop,False,https://www.yelp.com/biz/jt-s-genuine-sandwich-shop-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,150,['Sandwiches'],4.5,$$,"{'address1': '3970 N Elston Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3970 N Elston Ave', 'Chicago, IL 60618']}",41.95323,-87.71882,19.0,60618,chicago,IL,['Fast_Food'],Fast_Food,other
209,r9zeenSk7DLkv3MwHbfkng,Menya Goku By Ramen Wasabi,False,https://www.yelp.com/biz/menya-goku-by-ramen-wasabi-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,84,['Ramen'],4.5,$$,"{'address1': '2207 W Montrose Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['2207 W Montrose Ave', 'Chicago, IL 60618']}",41.96128855241221,-87.6841694,19.0,60618,chicago,IL,['Ramen'],other,other
210,Z9tbaxr8rBztZyZ-dBcoXA,Tuscan Hen Market,False,https://www.yelp.com/biz/tuscan-hen-market-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,127,"['Pasta Shops', 'Italian', 'Delis']",4.5,$$,"{'address1': '4019 N Damen', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['4019 N Damen', 'Chicago, IL 60618']}",41.9548599,-87.67842,19.0,60618,chicago,IL,"['Italian', 'Specialty_Store', 'Delis']",other,Italian
211,JIyH_X4bfwlcYaPZwJMt8g,TriBecca’s Sandwich Shop,False,https://www.yelp.com/biz/tribecca-s-sandwich-shop-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,50,['Sandwiches'],4.5,$$,"{'address1': '2949 W Belmont Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['2949 W Belmont Ave', 'Chicago, IL 60618']}",41.93927496480576,-87.70224356994014,19.0,60618,chicago,IL,['Fast_Food'],Fast_Food,other
212,5N4g9tt8RCuZf0Hte94Oxw,Staropolska Restaurant,False,https://www.yelp.com/biz/staropolska-restaurant-chicago-3?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,570,"['Polish', 'Desserts', 'Soup']",4.5,$$,"{'address1': '3030 N Milwaukee Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3030 N Milwaukee Ave', 'Chicago, IL 60618']}",41.936365,-87.719246,19.0,60618,chicago,IL,"['Polish', 'Dessert', 'Soup']",other,Polish
213,j8c1wgPJfFLZnPpvGlhnNw,Astoria Café & Bakery,False,https://www.yelp.com/biz/astoria-caf%C3%A9-and-bakery-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,76,"['Cafes', 'Bakeries', 'Modern European']",4.5,$$,"{'address1': '2954 W Irving Park Rd', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['2954 W Irving Park Rd', 'Chicago, IL 60618']}",41.95426,-87.70278,19.0,60618,chicago,IL,"['Coffee_Tea', 'Bakeries', 'Modern European']",other,Modern European
214,kGuntODtrcwwm-7SIJMuSA,Boem,False,https://www.yelp.com/biz/boem-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,16,['Latin American'],4.5,$$,"{'address1': '3912 W Montrose Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60618', 'country': 'US', 'state': 'IL', 'display_address': ['3912 W Montrose Ave', 'Chicago, IL 60618']}",41.961142,-87.725966,19.0,60618,chicago,IL,['Latin American'],other,Latin American
215,FwbB6TxT_3_aJ5kVBGP4DA,Hexe Coffee Co.,False,https://www.yelp.com/biz/hexe-coffee-co-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,144,"['Coffee & Tea', 'Bars']",4.5,$$,"{'address1': '2000 W Diversey Pkwy', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['2000 W Diversey Pkwy', 'Chicago, IL 60614']}",41.932572,-87.6790534,19.0,60614,chicago,IL,"['Coffee_Tea', 'Alcohol']",Alcohol,other
